Protein	Protein_name	MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R01	MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R02	MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R03	MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R01	MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R02	MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R03
P39880	CUX1_HUMAN	1754739.309	3675581.97	2073446.743	NA	NA	1713685.55
O43920	NDUS5_HUMAN	7491024.237	7080326.871	6563992.406	7441473.738	6750296.625	6284557.587
P0A825	GLYA_ECOLI	7191628.605	NA	NA	3344730.031	NA	4703203.335
Q9NRY5	F1142_HUMAN	1328325.512	1132541.925	976816.4564	1261308.062	1136433.76	1115059.864
Q18090	TOM40_CAEEL	8780600.724	11985877.29	11394346.06	14329504.24	11956699.98	14233327.31
Q04773	YMW4_YEAST	1924170.178	3149423.821	2432022.682	736527.0888	882613.0141	634041.6797
Q6R327	RICTR_HUMAN	3031697.683	3499348.165	3177396.826	3121437.264	3577962.816	3632590.399
P49720	PSB3_HUMAN	20695660.35	21740246.6	27162639.39	21596645.33	22245881.27	25723069.79
Q9NRP2	COXM2_HUMAN	16981918.81	13853071.67	14387647.41	18454183.52	16487975.58	16506853.05
Q641Q2	FA21A_HUMAN	2830568.729	3305865.92	3162661.889	2805991.277	2906777.187	3300931.363
O00566	MPP10_HUMAN	13372984.81	11957182.95	12300427.31	11389356.3	10935220.97	12164363.3
Q9NNW7	TRXR2_HUMAN	20647515.7	19226768.05	20322260.23	17712492.55	19899901.82	21769491.46
Q9BU76	MMTA2_HUMAN	5499500.539	5518555.482	6141560.83	6079496.275	5467528.314	6280465.054
Q5JPH6	SYEM_HUMAN	1563650.54	1634382.8	1963723.641	1869077.141	1481115.847	1772528.186
Q9P305	IGO2_YEAST	650901.2987	730317.1762	875166.644	459716.5215	NA	NA
A0A061AD47	A0A061AD47_CAEEL	3085524.762	3874742.011	2402048.208	3674278.83	4120581.089	4787335.829
P14923	PLAK_HUMAN	4342523.414	4218236.798	4699957.517	4489775.557	4532561.851	5055192.369
P34466	CLU_CAEEL	8103767.138	7456240.372	7715229.482	10487550.59	9532973.095	10380020.25
P37291	GLYC_YEAST	94298447.27	85230258.07	87374486.72	49666203.12	47944729.22	49460401.22
P52907	CAZA1_HUMAN	22622536.47	24146573.08	23507942.61	22531386.92	23953384.59	21964214.46
